style,count
"American Double / Imperial IPA",68
"American Double / Imperial Stout",61
"American IPA",20
"American Wild Ale",15
"Russian Imperial Stout",13
"American Porter",13
"American Pale Ale (APA)",10
"Saison / Farmhouse Ale",10
"Lambic - Fruit",7
"Quadrupel (Quad)",4
"Milk / Sweet Stout",4
"English Barleywine",4
Gueuze,4
"American Strong Ale",3
"Old Ale",2
"Oatmeal Stout",2
"Berliner Weissbier",2
"American Barleywine",2
"Flanders Red Ale",2
"Lambic - Unblended",1
Hefeweizen,1
"American Stout",1
Dubbel,1
