beerName,description
"Heady Topper","this is the beer that winners drink. are you a winner?"
"Heady Topper","This is right up there with Tree House and Trillium as one of the Best IPAs I've had."
"Heady Topper","Awesome New England style IPA being the original in a sense.  Some others have caught up and passed this legend."
"Heady Topper","16oz can received courtesy of @JHavs and his mini-assault on my doorstep. While there's a 4-pk holder in the box with a sticker showing a date of June 23, I don't know if it goes with this or one of the other 4 beers he sent me."
"Heady Topper","First I'll start by saying I did not buy into all the hype surrounding this beer. However, when I finally tasted it I was surprised and can understand why this has such a cult following. Great quality and a unique taste that definitely makes this stick out in an over saturated micro brewery market. It is definitely a bit bitter and not incredibly smooth which should come as no surprise, but the floral note and light after taste are addictive. Even those who do not love IPAs will most likely appreciate a can of Heady Topper. Also the art is awesome."
"Heady Topper","Pours an opaque orange-amber with a thin white head.  The aroma is all tropical fruit and citrus leaping from the glass.  Starts off with sweet citrus and tropical fruit notes, fading to a very mild bitter finish.  The malt is more then enough to balance out the bitterness.  It has a full mouthfeel, and is very inviting.  This is a top notch IIPA, and I can see why people are trying to imitate it."
"Heady Topper","Well, ranked ninth overall on August 1st had to try it out. Tasted incredible at brewery itself so if you can go there although sold out for purchase currently but did find some in town for sale. For sure, didnt disappoint. Stunningly light for a double. Deceptively easy to drink for its potency. Did the can drink and yes does make a difference but poured into a true tulip - available at the store for purchase too! Poured light orange gold. Fruit smells abound and a great taste goin down. Worth the hype!"
"Heady Topper","What a great beer!!!! Following instructions, I took the first sips straight from the can. Huge citrus hops presence, mangos, tangerines and grapefruit with a resiny, oily hops finish.  The hop presence is bitter but not a head shrinking hops bomb. There must be a malt balance here somewhere, but the malt does not interfere with the hoppy taste - just provides some balance. The aroma is just  as  impressive as the taste.  OK, its time to have a look at this in a glass.  Pours a hazy, dense straw yellow color into a pint glass.  It takes a hard pour to obtain a big white head, but with a hard pour, the head is large and frothy with excellent retention. Bands of wide lacing on the glass, once again with good retention.  The lacing lasted as long as the beer.  Maybe I'm just falling for the  hype, but I believe I will drink my remaining 3 beers straight from the can,  The aroma and flavor are much more prominent and overpowering straight from the can!!!  Mouthfeel is crisp and rich.  No hint of 8% abv. I could have drank another one and be surprised when the strength caught up with me!!!!  Bitterness is good but not overpowering and the oily resiny presence is surprising considering there is so much citrus in the taste.  I don't go crazy looking for hard-to-find beers anymore, but a friend took this as a challenge and sent me a 4 pack.  If you can find this beer - get it!!!  It is that good!!!!!"
"Heady Topper","The fluffy white foam reaches one inch and lingers for the duration. A fine webbing of lace coats the Spiegelau IIPA glass. The beer is murky gold (SRM 5-6) with casual carbonation throughout."
"Heady Topper","Thin and disappointing, especially because of the huge hype."
"Heady Topper","Drank directly from the can, as recommended."
"Heady Topper","The Winner and Still Champion."
"Heady Topper","One of the best I've had. Very drinkable"
"Heady Topper","Very hop foreword through out the entire drinking process, from cracking the can to swallowing the nectar. Almost too hoppy, like chewing on a pine tree at some points, although still consider it to be an archetypal IIPA (while still probably not my favorite)"
"Heady Topper","500ml can. Yellow liquid with a small white head. Nose is hoppy, fruity, grapefruit, exotic fruits, you can’t just stay there, you need to drink it, it is too inviting, can find some caramel malt as well. Taste is just as amazing as nose, once you take a sip you just can’t stop, abv isn’t even felt, you drink is like this is no tomorrow. A lovely IPA for sure."
"Heady Topper","Pours a beautiful cloudy golden with a dense pillow of white atop (4.25). Aroma is a remarkable balance of sweet malt and juicy hops, no bitterness or overly strong smells, mouth watering (4.5). Flavors are a different animal, with a mighty blast of hop dominating the sip from start to finish. Never harsh, and never too bitter, but always present. You can sense the malt in its backdrop just letting the Hops shine (4.75). Finishes ridiculously clean, not too dry, and just asking for another sip (4.75). Overall just fantastic stuff for my tastes (4.5)."
"Heady Topper","Look - slight haze golden color with very slight head"
"Heady Topper","Slightly hazy yellow color with two finger head and consumed in a snifter, sorry... Great floral and hop aromas.  Smooth and creamy texture with cream vanilla and orange citrus flavors.  Big, hoppy and full bodied mouthful, but so well balanced with all the other flavors.  This is one of the smoothest and tastiest  IIPA's I've ever had!"
"Heady Topper","2017 review:"
"Heady Topper","I am no beer connoisseur. I do not know the lingo, or even how to describe a taste so well. All I can say is is, that this my favorite beer to date. I started getting into IPA's on a trip to Burlington/Stowe last summer, and since have been on a search for delicious IPA's. This is the best I have had, hands down. Gorgeous, deliciousness, wonderful buzz feeling. I look forward to visiting my friends country house again to indulge!"
"Heady Topper","All of these components are close to being a 5, great IPA! The smell is definitely a 5. I enjoyed this emensly, definitely seek it out. Again I have to thank my buddy Dave!"
"Heady Topper","Too many hops for one sip. It needs more balance, whether that be balancing with the grain, or balancing with the variety of hops. It's like saying the best chili is the hottest chili."
"Heady Topper","This was the first IPA that I fell in love with. Hop city is an understatement. Cloudy as all get out, juicy with some hop burn. Great beer."
"Heady Topper","too bitter. somewhat disappointed."
"Heady Topper","A beer that excels in balance. Most NE IPA's are being built around this beer as the example. It's lush, vibrant, yet restrained. "
"Heady Topper","Not usually a fan of IPA, but this one is truly exceptional. The hops are in perfect balance with the sweetness from the malt. The flavor profile is intense and complex yet smooth and enjoyable; without question it lives up to it's reputation.  The Bavarian brewers would be jealous of this beer."
"Heady Topper","The hype is real! Was able to finally procure this beer from a guy who lives in VT. Thanks so much, Jason! Amazing Beer! Definitely in my top 5 of all time."
"Heady Topper","Hard to beat this perfect IPA."
"Heady Topper","One was poured into a snifter and the other was drank out of the can. The appearance in the snifter was a hazy burnt orange color with a ton of floaties surrounding the body. The head was about a finger’s worth of white foaminess. There was some light lacing sticking nicely to the sides of the glass. The smell out of the can and glass was basically the same as it was pure citrus to piney hops that ended up assaulting my nose in a nice bitter/dank sort of way. The taste between the can and the glass was the same as it was pure bittersweetness from the hops. Even as this one warms, the sweetness comes from the hops and not the malts. On the palate, this one sat about a light to medium on the body with a pretty good sessionability about it. The carbonation was sharp due to the style and was much expected. Overall, an absolutely wonderful DIPA to me."
"Heady Topper","This is the epitome of an IPA, we have a house 40 minutes from the Alchemist brewery and this beer was one of the main reasons we decided to buy a ski house in Vermont. Only negative thing I have to say is it leaves you a little thirsty. Has a big bite to it so be wary."
"Heady Topper","This is the perfect use of hops. Never have I had a better IPA and I doubt I ever will. Well worth a trip to Vermont to pick up a few four packs of this fine craftsmanship."
"Heady Topper","Look is hazy dark straw with bright white head."
"Heady Topper","It is, without a doubt, my go-to beer."
"Heady Topper","I clearly cannot add anything that hasn't already been said. "
"Heady Topper","Pours a hazy lighter straw yellow with a nice bright white head. Decent lacing down the glass. Nose is dominated by citrus. Grapefruit pith and orange peal. Taste is also citrus forward. Very bright and crisp clean citrus fruits that yields way to pine bark. Getting a bit of that oniony taste that sometimes crops up but it is very light and minimal. Beer gets juicier as it warms. Medium body with a bright clean finish to it. Nice little bitter kick as it goes down that reminds you your're drinking a fine Heady Topper. Glad I finally tried this one"
"Heady Topper",Perfect
"Heady Topper","From Bierkrafr. In Teku glass. Watching Looper. Resinous, with pineapple notes. Very balanced and tasty but wont give it full score because some subtle veggie notes not completely pleasant"
"Heady Topper","Not a beer expert by any means, just some who likes beer. To me it definitely got better as the beer got warmer and I felt that it was better out of the can. My expectations were set pretty high. Definitely a great beer, but I was expecting more."
"Heady Topper","Perfectly balance. Strong hop punch to start with a smooth citrus finish that cruises you into the sunset"
"Heady Topper","Lots of grapefruit, hazy. Very reminiscent of Hair of the Dog's Blue Dot when it was good."
"Heady Topper","Look: Out of a can but I know the hazy Heady from many experiences. "
"Heady Topper","A friend of mine brought one down from a visit to the brewery for me.  Nothing better than owing a Top 10 beer to a friend, I returned the favor with Pliny the Elder.  "
"Heady Topper","Enjoyed from a can. "
