style,beerName,rank
"Old Ale","Kuhnhenn Bourbon Barrel Fourth Dementia",84
"Berliner Weissbier","Miami Madness",75
"American Strong Ale","Bourbon Barrel Aged Abominable: Coffee And Cinnamon",63
Gueuze,"Duck Duck Gooze",59
"Lambic - Unblended","Drie Fonteinen Zenne Y Frontera",58
"English Barleywine",Aaron,55
"Lambic - Fruit","Cantillon Fou' Foune",52
"American Wild Ale",Fuzzy,41
"Saison / Farmhouse Ale","Nectarine Premiere",35
"American Stout","Double Shot",33
"American Double / Imperial IPA","Very Hazy",3
"American Pale Ale (APA)","Double Dry Hop PseudoSue (Citra)",29
"American Porter","Sunday Brunch",24
"Quadrupel (Quad)","Trappist Westvleteren 12 (XII)",23
Hefeweizen,"Weihenstephaner Hefeweissbier",220
"Flanders Red Ale","Rodenbach Caractère Rouge",179
"American IPA",Julius,16
"Milk / Sweet Stout",Trickery,139
"American Barleywine","A Deal With The Devil",138
"Oatmeal Stout","Bourbon Barrel Aged Dark Star: Coffee Edition",123
Dubbel,"Trappist Westvleteren 8 (VIII)",113
"Russian Imperial Stout","Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord)",11
"American Double / Imperial Stout","Kentucky Brunch Brand Stout",1
